department,station,safety_center,address,jurisdiction
경남소방본부,진주소방서,문산119안전센터,경상남도 진주시 문산읍 월아산로 979,"진주시 충무공동, 진주시 문산읍, 진주시 진성면, 진주시 금곡면 "
경남소방본부,진주소방서,반성119지역대,경상남도 진주시 일반성면 동부로 2060번길 21 반성119지역대,"진주시 일반성면, 진주시 이반성면, 진주시 사봉면, 진주시 지수면 "
경남소방본부,진주소방서,상대119안전센터,경상남도 진주시 동진로 249,"진주시 상대동, 진주시 상평동, 진주시 하대동 "
경남소방본부,진주소방서,정촌119안전센터,경상남도 진주시 뿌리산단로 2,"진주시 가호동, 진주시 정촌면 "
경남소방본부,진주소방서,중앙119안전센터,경상남도 진주시 북장대로64번길 14(봉곡동) 중앙119안전센터,"진주시 성북동, 진주시 중앙동, 진주시 상봉동 "
경남소방본부,진주소방서,천전119안전센터,경상남도 진주시 강남로 167번길 16,"진주시 천전동, 진주시 내동면 "
경남소방본부,진주소방서,평거119안전센터,경상남도 진주시 순환로 565,"진주시 평거동, 진주시 이현동, 진주시 신안동, 진주시 판문동"
경남소방본부,창녕소방서,119구조대,경상남도 창녕군 대지면 우포2로 109,
경남소방본부,창녕소방서,남지119안전센터,경상남도 창녕군 남지읍 동포로 64,"창녕군 남지읍, 창녕군 장마면"
경남소방본부,창녕소방서,부곡119안전센터,경상남도 창녕군 부곡면 원앙로 184,"창녕군 부곡면, 창녕군 길곡면"
경남소방본부,창녕소방서,영산119안전센터,경상남도 창녕군 영산면 영산장마로 697,"창녕군 계성면, 창녕군 도천면, 창녕군 영산면"
경남소방본부,창녕소방서,창녕119안전센터,경상남도 창녕군 대지면 우포2로 1097,"창녕군 창녕읍, 창녕군 고암면, 창녕군 유어면, 창녕군 대지면"
경남소방본부,창원소방본부(진해소방서),119구조대,경상남도 창원시 진해구 진해대로 1101,
경남소방본부,창원소방본부(진해소방서),대흥119안전센터,경상남도 창원시 진해구 백구로 72,"창원시 여좌동, 창원시 태백동, 창원시 충무동, 창원시 제황산동"
경남소방본부,창원소방본부(진해소방서),용원119안전센터,경상남도 창원시 진해구 용원로 43,"창원시 웅동2동, 창원시 가주동"
경남소방본부,창원소방본부(진해소방서),웅동119안전센터,경상남도 창원시 진해구 남의로 11,"창원시 남문동, 창원시 마천동, 창원시 성내동, 창원시 두동"
경남소방본부,창원소방본부(진해소방서),이동119안전센터,경상남도 창원시 진해구 충장로 434,"창원시 경화동, 창원시 석동, 창원시 이동"
경남소방본부,창원소방본부(진해소방서),풍호119안전센터,경상남도 창원시 진해구 진해대로 1101,"창원시 자은동, 창원시 덕산동, 창원시 풍호동, 창원시 행암동, 창원시 장천동, 창원시 북부동, 창원시 원포동, 창원시 죽곡동, 창원시 서중동, 창원시 명동, 창원시 제덕동, 창원시 수도동, 창원시 연도동"
경남소방본부,통영소방서,119구조대,경상남도 통영시 광도면 죽림4로 49,
경남소방본부,통영소방서,도남119안전센터,경상남도 통영시 도남로257,"통영시 산양읍, 통영시 봉평동"
경남소방본부,통영소방서,무전119안전센터,경상남도 통영시 원문로 71,"통영시 무전동, 통영시 북신동, 통영시 정량동"
경남소방본부,통영소방서,서호119안전센터,경상남도 통영시 중앙로 91-8,"통영시 도천동, 통영시 인평동, 통영시 평림동, 통영시 명정동, 통영시 중앙동"
경남소방본부,통영소방서,소방정대,경상남도 통영시 한산면 한산일주로 882,"통영시 욕지면, 통영시 사량면, 경상남도 남해안 "
경남소방본부,통영소방서,죽림119안전센터,경상남도 통영시 광도면 죽림4로 49,"통영시 도산면, 통영시 용남면, 통영시 광도면"
경남소방본부,하동소방서,119구조대,경상남도 하동군 금성면 금성로 15,
경남소방본부,하동소방서,금성119안전센터,경상남도 하동군 금성면 금성로 15,"하동군 금성면, 하동군 금남면, 하동군 고전면"
경남소방본부,하동소방서,옥종119지역대,경상남도 하동군 옥종면 옥단로 856-6,"하동군 옥종면, 하동군 북천면"
경남소방본부,하동소방서,진교119안전센터,경상남도 하동군 진교면 진양로 27,"하동군 진교면, 하동군 양보면"
경남소방본부,하동소방서,하동119안전센터,경상남도 하동군 적량면 공설운동장로 169,"하동군 하동읍, 하동군 적량면"
경남소방본부,하동소방서,화개119안전센터,경상남도 하동군 화개면 쌍계로 58,"하동군 화개면, 하동군 악양면"
경남소방본부,하동소방서,횡천119지역대,경상남도 하동군 횡천면 황보길 6,"하동군 횡천면, 하동군 청암면"
경남소방본부,함안소방서,119구조대,경상남도 함안군 가야읍 선왕길59,
경남소방본부,함안소방서,가야119안전센터,경상남도 함안군 가야읍 선왕길 59,"함안군 가야읍, 함안군 함안면. 함안군 산인면, 함안군 여항면, 함안군 대산면"
경남소방본부,함안소방서,군북119안전센터,경상남도 함안군 군북면 함마대로 760,"함안군 군북면, 함안군 법수면"
경남소방본부,함안소방서,칠원119안전센터,경상남도 함안군 칠원읍 용산2길 121,"함안군 칠원읍, 함안군 칠서면, 함안군 칠북면"
경남소방본부,함양소방서,백전119지역대,경상남도 함양군 백전면 구산대안로 10-5,"함양군 백전면, 함양군 병곡면"
경남소방본부,함양소방서,서상119지역대,경상남도 함양군 서상면 대남로 16,"함양군 서상면, 함양군 서하면"
경남소방본부,함양소방서,안의119안전센터,경상남도 함양군 안의면 금성길 19,"함양군 안의면, 함양군 지곡면, 함양군 수동면"
경남소방본부,함양소방서,함양119안전센터,경상남도 함양군 함양읍 고운로 161-41,"함양군 함양읍, 함양군 병곡면, 함양군 백전면, 함양군 유림면, 함양군 휴천면"
경남소방본부,함양소방서,함양산악구조대,경상남도 함양군 마천면 삼정로 28,함양군 마천면
경남소방본부,합천소방서,119구조대,경상남도 합천군 합천읍 인덕로 2453,
경남소방본부,합천소방서,북부119안전센터,경상남도 합천군 야로면 월광2길 5,"합천군 야로면, 합천군 묘산면, 합천군 봉산면, 합천군 가야면 "
경남소방본부,합천소방서,삼가119안전센터,경상남도 합천군 삼가면 삼가로 287,"합천군 삼가면, 합천군 쌍백면, 합천군 가회면 "
경남소방본부,합천소방서,초계119안전센터,경상남도 합천군 초계면 양동로 6-16,"합천군 초계면, 합천군 적중면, 합천군 쌍책면 "
경남소방본부,합천소방서,합천119안전센터,경상남도 합천군 합천읍 인덕로 2453,"합천군 합천읍, 합천군 율곡면, 합천군 용주면, 합천군 대양면 "
경북소방본부,경산소방서,119구조대,경상북도 경산시 대학로 212,
경북소방본부,경산소방서,압량119안전센터,경상북도 경산시 압량읍 김유신로 12,"경산시 대정동, 경산시 임당동, 경산시 대평동, 경산시 조영동, 경산시 갑제동, 경산시 대동, 경산시 압량읍"
경북소방본부,경산소방서,자인119안전센터,경상북도 경산시 자인면 금학로 25-11,"경산시 자인면, 경산시 용성면, 경산시 남산면"
경북소방본부,경산소방서,중산119안전센터,경상북도 경산시 펜타힐즈4로 1,"경산시 옥곡동, 경산시 사정동, 경산시 옥산동, 경산시 중산동, 경산시 정평동, 경산시 남천면"
경북소방본부,경산소방서,중앙119안전센터,경상북도 경산시 장산로 143,"경산시 삼남동, 경산시 서상동, 경산시 신교동, 경산시 삼방동, 경산시 백천동, 경산시 삼북동, 경산시 중방동, 경산시 남방동, 경산시 내동, 경산시 여천동, 경산시 유곡동, 경산시 신천동, 경산시 점촌동, 경산시 평산동, 경산시 사동, 경산시 삼풍동, 경산시 계양동"
경북소방본부,경산소방서,진량119안전센터,경상북도 경산시 진량읍 공단2로 72,경산시 진량읍
경북소방본부,경산소방서,하양119안전센터,경상북도 경산시 하양읍 대경로 793,"경산시 하양읍, 경산시 와촌면"
경북소방본부,경주소방서,119구조대,경상북도 경주시 황성로 39,
경북소방본부,경주소방서,감포119안전센터,경상북도 경주시 감포읍 동해안로 2153,경주시 감포읍
경북소방본부,경주소방서,건천119안전센터,경상북도 경주시 건천읍 내서로 1065,"경주시 건천읍, 경주시 산내면"
경북소방본부,경주소방서,동부119안전센터,경상북도 경주시 중앙로 59,"경주시 동부동, 경주시 서부동, 경주시 북부동, 경주시 노동동, 경주시 노서동, 경주시 성건동, 경주시 사정동, 경주시 황남동, 경주시 탑동, 경주시 충효동, 경주시 서악동, 경주시 효현동, 경주시 광명동, 경주시 율동, 경주시 배동, 경주시 석장동"
경북소방본부,경주소방서,보문119안전센터,경상북도 경주시 경감로 587-8,"경주시 보문동, 경주시 천군동, 경주시 신평동, 경주시 덕동, 경주시 암곡동, 경주시 황용동, 경주시 북군동, 경주시 손곡동, 경주시 천북면"
경북소방본부,경주소방서,불국사119안전센터,경상북도 경주시 불국신택지4길 4,"경주시 도지동, 경주시 평동, 경주시 조양동, 경주시 시동, 경주시 시래동, 경주시 구정동, 경주시 마동, 경주시 하동, 경주시 진현동"
경북소방본부,경주소방서,안강119안전센터,경상북도 경주시 안강읍 안강중앙로 146,"경주시 안강읍, 경주시 강동면 국당리, 경주시 강동면 다산리, 경주시 강동면 모서리, 경주시 강동면 부조리, 경주시 강동면 안계리, 경주시 강동면  오금리, 경주시 강동면 왕신리, 경주시 강동면 인동리, 경주시 강동면 유금리, 경주시 강동면 단구리, 경주시 강동면 호명리"
경북소방본부,경주소방서,외동119안전센터,경상북도 경주시 외동읍 입실로1길 78-15,경주시 외동읍
경북소방본부,경주소방서,용황119안전센터,경상북도 경주시 공단로 25,"경주시 황성동, 경주시 용강동, 경주시 현곡면"
경북소방본부,경주소방서,황오119안전센터,경상북도 경주시 알천남로 276,"경주시 황오동, 경주시 성동동, 경주시 교동, 경주시 인왕동, 경주시 동방동, 경주시 남산동, 경주시 배반동, 경주시 구황동, 경주시 동천동"
경북소방본부,고령소방서,119구조대,경상북도 고령군 대가야읍 벽화길 18,
경북소방본부,고령소방서,다산119안전센터,경상북도 고령군 다산면 다산로 506,"고령군 다산면, 고령군 성산면"
경북소방본부,고령소방서,대가야119안전센터,경상북도 고령군 대가야읍 벽화길 18,"고령군 대가야읍, 고령군 쌍림면, 고령군 우곡면, 고령군 덕곡면, 고령군 개지면, 고령군 운수면"
경북소방본부,구미소방서,119구조대,경상북도 구미시 수출대로 112,
경북소방본부,구미소방서,고아119안전센터,경상북도 구미시 고아읍 선산대로 821,"구미시 고아읍, 구미시 도개면"
경북소방본부,구미소방서,공단119안전센터,경상북도 구미시 수출대로 112,"구미시 신평동, 구미시 비산동, 구미시 공단동"
경북소방본부,구미소방서,봉곡119안전센터,경상북도 구미시 봉곡동로 48,"구미시 봉곡동, 구미시 부곡동, 구미시 선기동, 구미시 수점동"
경북소방본부,구미소방서,상림119안전센터,경상북도 구미시 상림로 45,"구미시 상모사곡동, 구미시 임오동"
경북소방본부,구미소방서,선산119안전센터,경상북도 구미시 선산읍 선산대로 1400-13,"구미시 선산읍, 구미시 무을면, 구미시 옥성면"
경북소방본부,구미소방서,송정119안전센터,경상북도 구미시 백산로 207,"구미시 남통동, 구미시 형곡동, 구미시 송정동"
경북소방본부,구미소방서,옥계119안전센터,경상북도 구미시 산동읍 산호대로41길 4,"구미시 거의동, 구미시 구포동, 구미시 금전동, 구미시 오계동, 구미시 양호동, 구미시 산동읍"
경북소방본부,구미소방서,원평119안전센터,경상북도 구미시 산업로 174,"구미시 원평동, 구미시 지산동, 구미시 도량동, 구미시 양호동"
경북소방본부,구미소방서,인동119안전센터,경상북도 구미시 이계북로 147,"구미시 인동동, 구미시 진미동"
경북소방본부,구미소방서,해평119안전센터,경상북도 구미시 해평면 강동로 1663,"구미시 해평면, 구미시 장천면"
경북소방본부,김천소방서,119구조대,경상북도 김천시 강변로 219,
경북소방본부,김천소방서,다수119안전센터,경상북도 김천시 영남대로 1246,"김천시 다곡동, 김천시 대신동 , 김천시 대항면, 김천시 봉산면"
경북소방본부,김천소방서,대광119안전센터,경상북도 김천시 공단로 152-36,"김천시 대신동, 김천시 응명동, 김천시 어모면, 김천시 개령면"
경북소방본부,김천소방서,아포119안전센터,경상북도 김천시 아포읍 아포공단길 45,김천시 아포읍
경북소방본부,김천소방서,양금119안전센터,경상북도 김천시 강변로 219,"김천시 자산동, 김천시 평화남산동, 김천시 양금동, 김천시 지좌동, 김천시 농소면, 김천시 감천면"
경북소방본부,김천소방서,율곡119안전센터,경상북도 김천시 혁신7로 46,김천시 율곡동
경북소방본부,김천소방서,지례119안전센터,경상북도 김천시 지례면 장터길 115,"김천시 지례면, 김천시 조마면, 김천시 구성면, 김천시 대덕면, 김천시 증산면, 김천시 부항면"
경북소방본부,문경소방서,119구조대,경상북도 문경시 중앙로 305,
경북소방본부,문경소방서,가은119안전센터,경상북도 문경시 가은읍 가은로 126,"문경시 가은읍, 문경시 농암면"
경북소방본부,문경소방서,모전119안전센터,경상북도 문경시 모전로 173,"문경시 모전동, 문경시 공평동, 문경시 유곡동, 문경시 신기동, 문경시 불정동"
경북소방본부,문경소방서,문경119안전센터,경상북도 문경시 문경읍 새재로 501,"문경시 문경읍, 문경시 마성면"
경북소방본부,문경소방서,산북119안전센터,경상북도 문경시 산북면 약석리 508,"문경시 산양면, 문경시 산북면, 문경시 동로면"
경북소방본부,문경소방서,점촌119안전센터,경상북도 문경시 중앙로 305,"문경시 점촌동, 문경시 영신동, 문경시 흥덕동, 문경시 우지동, 문경시 창동, 문경시 윤직동, 문경시 영순면, 문경시 호계면"
경북소방본부,봉화소방서,119구조대,경상북도 봉화군 봉화읍 내성천3길 152,
경북소방본부,봉화소방서,명호119안전센터,경상북도 봉화군 명호면 도천길 18-46,"봉화군 봉성면, 봉화군 재산면, 봉화군 명호면"
경북소방본부,봉화소방서,봉화119안전센터,경상북도 봉화군 봉화읍 내성천3길 152,"봉화군 봉화읍, 봉화군 물야면, 봉화군 상운면"
경북소방본부,봉화소방서,춘양119안전센터,경상북도 봉화군 춘양면 소천로 22,"봉화군 법전면, 봉화군 춘양면, 봉화군 소천면, 봉화군 석포면"
경북소방본부,상주소방서,119구조대,경상북도 상주시 경상대로 3203-11,
경북소방본부,상주소방서,낙동119안전센터,경상북도 상주시 낙동면 낙운로 3,"상주시 낙동면, 상주시 중동면"
경북소방본부,상주소방서,만산119안전센터,경상북도 상주시 경상대로 3203-11,"상주시 성하동, 상주시 성동동, 상주시 인봉동, 상주시 복룡동, 상주시 냉림동, 상주시 서성동, 상주시 남성동, 상주시 서문동, 상주시 무양동, 상주시 낙양동, 상주시 개운동, 상주시 신봉동, 상주시 가장동, 상주시 양촌동, 상주시 지천동, 상주시 오대동, 상주시 흥각동, 상주시 거동동, 상주시 인평동, 상주시 서곡동, 상주시 화개동, 상주시 외답동, 상주시 헌신동, 상주시 병성동, 상주시 도남동, 상주시 낙상동, 상주시 중덕동, 상주시 초산동, 상주시 화산동, 상주시 계산동, 상주시 부원동, 상주시 죽전동, 상주시 만산동, 상주시 연원동, 상주시 남장동, 상주시 남적동, 상주시 중동면, 상주시 사벌면, 상주시 내서면, 상주시 외서면"
경북소방본부,상주소방서,청리119안전센터,경상북도 상주시 청리면 마공공단로 152,"상주시 청리면, 상주시 공성면, 상주시 외남면, 상주시 낙동면"
경북소방본부,상주소방서,함창119안전센터,경상북도 상주시 함창읍 가야로 46-1,"상주시 함창읍, 상주시 은척면, 상주시 공검면, 상주시 이안면"
경북소방본부,상주소방서,화서119안전센터,경상북도 상주시 화서면 상현무동길 5,"상주시 화서면, 상주시 화동면, 상주시 화남면, 상주시 화북면, 상주시 모서면, 상주시 모동면"
경북소방본부,성주소방서,119구조대,경상북도 성주군 성주읍 주산로 193,
경북소방본부,성주소방서,가천119안전센터,경상북도 성주군 가천면 가천로 3,"성주군 가천면, 성주군 금수강산면, 성주군 대가면, 성주군 수륜면"
경북소방본부,성주소방서,선남119안전센터,경상북도 성주군 선남면 도성3길 39-17,"성주군 선남면, 성주군 용암면 "
경북소방본부,성주소방서,성주119안전센터,경상북도 성주군 성주읍 주산로 193,"성주군 성주읍, 성주군 벽진면, 성주군 초전면, 성주군 월항면"
경북소방본부,안동소방서,119구조대,경상북도 안동시 육사로 301,
경북소방본부,안동소방서,도산119안전센터,경상북도 안동시 도산면 퇴계로 2171,"안동시 도산면, 안동시 예안면, 안동시 와룡면, 안동시 녹전면"
경북소방본부,안동소방서,법흥119안전센터,경상북도 안동시 육사로 301,"안동시 삼산동, 안동시 서부동, 안동시 북문동, 안동시 명륜동, 안동시 신안동, 안동시 율세동, 안동시 옥정동, 안동시 신세동, 안동시 법흥동, 안동시 동문동, 안동시 동부동, 안동시 운흥동, 안동시 천리동, 안동시 남부동, 안동시 남문동, 안동시 안흥동, 안동시 대석동, 안동시 옥야동, 안동시 광석동, 안동시 당북동, 안동시 태화동, 안동시 화성동, 안동시 목성동, 안동시 법상동, 안동시 금곡동, 안동시 평화동, 안동시 안기동, 안동시 운안동, 안동시 상아동, 안동시 안막동, 안동시 이천동, 안동시 정상동, 안동시 정하동, 안동시 수상동, 안동시 수하동"
경북소방본부,안동소방서,옥동119안전센터,경상북도 안동시 광명로 85,"안동시 옥동, 안동시 송하동, 안동시 북후면, 안동시 서후면"
경북소방본부,안동소방서,용상119안전센터,경상북도 안동시 마들6길 27,"안동시 용상동, 안동시 성곡동, 안동시 송천동, 안동시 석동동, 안동시 남선면, 안동시 임하면, 안동시 길안면, 안동시 임동면"
경북소방본부,안동소방서,풍산119안전센터,경상북도 안동시 풍산읍 풍산태사로 1162,"안동시 풍산읍, 안동시 풍천면"
경북소방본부,영덕소방서,119구조대,경상북도 영덕군 영덕읍 경동로 8401,
경북소방본부,영덕소방서,강구119안전센터,경상북도 영덕군 강구면 강산로 38,"영덕군 강구면, 영덕군 남정면"
경북소방본부,영덕소방서,영덕119안전센터,경상북도 영덕군 영덕읍 경동로 8401,"영덕군 영덕읍, 영덕군 달산면, 영덕군 지품면"
경북소방본부,영덕소방서,영해119안전센터,경상북도 영덕군 영해면 창수영해로 481,"영덕군 축산면, 영덕군 영해면, 영덕군 병곡면, 영덕군 창수면"
경북소방본부,영주소방서,119구조대,경상북도 영주시 문수면 적서로 448번길 17,
경북소방본부,영주소방서,가흥119안전센터,경상북도 영주시 선비로 181,"영주시 영주동, 영주시 상망동, 영주시 하망동, 영주시 가흥동, 영주시 고현동, 영주시 창진동, 영주시 상줄동, 영주시 조와동, 영주시 아지동, 영주시 장수면, 영주시 안정면"
경북소방본부,영주소방서,문수119안전센터,경상북도 영주시 문수면 적서로448번길 17,"영주시 휴천동, 영주시 문정동, 영주시 조암동, 영주시 적서동, 영주시 이산면, 영주시 평은면, 영주시 문수면"
경북소방본부,영주소방서,풍기119안전센터,경상북도 영주시 풍기읍 기주로 159,"영주시 풍기읍, 영주시 봉현면, 영주시 순흥면, 영주시 단산면, 영주시 부석면"
경북소방본부,영천소방서,119구조대,경상북도 영천시 호국로 187,
경북소방본부,영천소방서,금호119안전센터,경상북도 영천시 금호읍 오계공단길 5,"영천시 금호읍, 영천시 대창면"
경북소방본부,영천소방서,남부119안전센터,경상북도 영천시 한방로 176(작산동),"영천시 완산동, 영천시 남부동 작산동, 영천시 남부동 금노동, 영천시 남부동 범어동, 영천시 남부동 도동, 영천시 남부동 봉동, 영천시 남부동 도남동, 영천시 남부동 본촌동, 영천시 남부동 채신동, 영천시 남부동 괴연동, 영천시 북안면"
경북소방본부,영천소방서,동부119안전센터,경상북도 영천시 호국로 187(조교동),"영천시 동부동 망정동, 영천시 동부동 야사동, 영천시 동부동 조교동, 영천시 동부동 언하동, 영천시 동부동 신기동, 영천시 중앙동 문외동, 영천시 중앙동 문내동, 영천시 중앙동 창구동, 영천시 중앙동 과전동, 영천시 중앙동 오미동, 영천시 중앙동 녹전동, 영천시 중앙동 도림동, 영천시 중앙동 매산동, 영천시 서부동 교촌동, 영천시 서부동 성내동, 영천시 서부동 화룡동, 영천시 서부동 오수동, 영천시 서부동 쌍계동, 영천시 서부동 대전동, 영천시 서부동 서산동, 영천시 화북면, 영천시 화남면, 영천시 자양면, 영천시 임고면, 영천시 고경면"
경북소방본부,영천소방서,신녕119안전센터,경상북도 영천시 신녕면 어릿골길 11,"영천시 신녕면, 영천시 화산면, 영천시 청통면"
경북소방본부,예천소방서,119구조대,경상북도 예천군 예천읍 양궁로 61-12,
경북소방본부,예천소방서,도청119안전센터,경상북도 예천군 호명읍 도청대로 19,예천군 호명읍
경북소방본부,예천소방서,예천119안전센터,경상북도 예천군 예천읍 양궁로 61-12,"예천군 예천읍, 예천군 보문면"
경북소방본부,예천소방서,용문119안전센터,경상북도 예천군 용문면 상금곡리 593-1,"예천군 용문면, 예천군 효자면, 예천군 은풍면, 예천군 유천면"
경북소방본부,예천소방서,지보119안전센터,경상북도 예천군 지보면 지보로 247,"예천군 지보면, 예천군 풍양면, 예천군 개포면, 예천군 용궁면, 예천군 유천면"
경북소방본부,울진소방서,119구조대,경상북도 울진군 울진읍 울진북로 508,
경북소방본부,울진소방서,북면119안전센터,경상북도 울진군 북면 장터길 69,"울진군 북면 부구1리, 울진군 북면 부구2리, 울진군 북면 부구3리, 울진군 북면 고목1리, 울진군 북면 고목2리, 울진군 북면 고목3리, 울진군 북면 주인1리, 울진군 북면 주인2리, 울진군 북면 주인3리, 울진군 북면 신화1리, 울진군 북면 신화2리, 울진군 북면 소곡1리, 울진군 북면 소곡2리, 울진군 북면 사계1리, 울진군 북면 사계2리, 울진군 북면 두천1리, 울진군 북면 두천2리, 울진군 북면 덕구1리, 울진군 북면 덕구2리, 울진군 북면 나곡1리, 울진군 북면 나곡2리, 울진군 북면 나곡3리, 울진군 북면 나곡4리, 울진군 북면 나곡5리, 울진군 북면 나곡6리, 울진군 북면 상당리, 울진군 북면 하당리, 울진군 북면 검성리"
경북소방본부,울진소방서,온정119안전센터,경상북도 울진군 온정면 백암온천로 1315,울진군 온정면
경북소방본부,울진소방서,울진119안전센터,경상북도 울진군 울진읍 울진북로 508,"울진군 울진읍, 울진군 금강송면, 울진군 근남면, 울진군 매화면"
경북소방본부,울진소방서,죽변119안전센터,경상북도 울진군 죽변면 하죽로 1841,"울진군 죽변면 죽변1리, 울진군 죽변면 죽변2리, 울진군 죽변면 죽변3리, 울진군 죽변면 죽변4리, 울진군 죽변면 죽변5리, 울진군 죽변면 후정1리, 울진군 죽변면 후정2리, 울진군 죽변면 후정3리, 울진군 죽변면 후정4리, 울진군 죽변면 화성1리, 울진군 죽변면 화성2리, 울진군 죽변면 화성3리, 울진군 죽변면 화성4리, 울진군 죽변면 봉평1리, 울진군 죽변면 봉평2리"
경북소방본부,울진소방서,후포119안전센터,경상북도 울진군 후포면 실배길 28-1,"울진군 평해읍, 울진군 기성면, 울진군 후포면"
경북소방본부,의성소방서,119구조대,경상북도 의성군 봉양면 경북대로 4741,
경북소방본부,의성소방서,봉양119안전센터,경상북도 의성군 봉양면 경북대로 4741,"의성군 춘산면, 의성군 가음면, 의성군 금성면, 의성군 봉양면, 의성군 비안면, 의성군 신평면, 의성군 안평면"
경북소방본부,의성소방서,안계119안전센터,경상북도 의성군 안계면 안계길 100,"의성군 구천면, 의성군 단밀면, 의성군 단북면, 의성군 안계면, 의성군 다인면, 의성군 안사면"
경북소방본부,의성소방서,의성119안전센터,경상북도 의성군 의성읍 홍술로 187,"의성군 의성읍, 의성군 단촌면, 의성군 점곡면, 의성군 옥산면, 의성군 사곡면"
경북소방본부,청도소방서,119구조대,경북 청도군 청도읍 중앙로 192-34,
경북소방본부,청도소방서,금천119안전센터,경상북도 청도군 금천면 청려로 4363,"청도군 금천면, 청도군 운문면, 청도군 매전면"
경북소방본부,청도소방서,청도119안전센터,경상북도 청도군 청도읍 중앙로 192-34,"청도군 청도읍, 청도군 화양읍"
경북소방본부,청도소방서,풍각119안전센터,경상북도 청도군 풍각면 송서로 64,"청도군 각남면, 청도군 각북면, 청도군 풍각면, 청도군 이서면"
경북소방본부,청송소방서,119구조대,경상북도 청송군 청송읍 굿바들길 19,
경북소방본부,청송소방서,진보119안전센터,경상북도 청송군 진보면 청송로 6346,"청송군 파천면, 청송군 진보면"
경북소방본부,청송소방서,청송119안전센터,경상북도 청송군 청송읍 굿바들길 19,"청송군 청송읍, 청송군 부동면, 청송군 부남면, 청송군 현동면, 청송군 현서면, 청송군 안덕면"
경북소방본부,칠곡소방서,119구조대,경상북도 칠곡군 기산면 칠곡대로 1216,
경북소방본부,칠곡소방서,가산119안전센터,경상북도 가산면 다부원1길 57,칠곡군 가산면
경북소방본부,칠곡소방서,기산119안전센터,경상북도 칠곡군 기산면 칠곡대로 1216,"칠곡군 왜관읍 왜관리, 칠곡군 왜관읍 매원리, 칠곡군 왜관읍 석전리, 칠곡군 왜관읍 봉계리, 칠곡군 왜관읍 아곡리, 칠곡군 기산면"
경북소방본부,칠곡소방서,동명119안전센터,경상북도 칠곡군 동명면 한티로 216,칠곡군 동명면
경북소방본부,칠곡소방서,북삼119안전센터,경상북도 칠곡군 북삼읍 안산2길 46,칠곡군 북삼
경북소방본부,칠곡소방서,석적119안전센터,경상북도 칠곡군 석적읍 유학로 140,칠곡군 석적읍
경북소방본부,칠곡소방서,왜관119안전센터,경상북도 칠곡군 기산면 칠곡대로 1216,"칠곡군 왜관읍 금산리, 칠곡군 왜관읍 금남리, 칠곡군 왜관읍 삼청리, 칠곡군 왜관읍 낙산리"
경북소방본부,칠곡소방서,지천119안전센터,경상북도 칠곡군 지천면 신동로85,칠곡군 지천면
경북소방본부,포항남부소방서,119구조대,경상북도 포항시 남구 동해안로 5890,
경북소방본부,포항남부소방서,구룡포119안전센터,경상북도 포항시 남구 구룡포읍 호미로 265,"포항시 구룡포읍, 포항시 호미곶면"
경북소방본부,포항남부소방서,연일119안전센터,경상북도 포항시 남구 연일읍 철강로 10,포항시 연일읍
경북소방본부,포항남부소방서,오천119안전센터,경상북도 포항시 남구 오천읍 해병로 369,"포항시 오천읍, 포항시 장기면"
경북소방본부,포항남부소방서,울릉119안전센터,경상북도 울릉군 울릉읍 울릉순환로 415,"포항시 울릉읍, 포항시 서면, 포항시 북면"
경북소방본부,포항남부소방서,일월119안전센터,경상북도 포항시 남구 동해안로 5890,"포항시 청림동, 포항시 일월동, 포항시 송정동, 포항시 송내동, 포항시 동촌동, 포항시 인덕동, 포항시 동해면"
경북소방본부,포항남부소방서,제철119안전센터,경상북도 포항시 남구 철강로 360,"포항시 괴동동, 포항시 장흥동, 포항시 호동, 포항시 대송면"
경북소방본부,포항남부소방서,해도119안전센터,경상북도 포항시 남구 중앙로 118,"포항시 상도동, 포항시 대도동, 포항시 해도동, 포항시 송도동"
경북소방본부,포항남부소방서,효자119안전센터,경상북도 포항시 남구 지곡로212번길 45,
경북소방본부,포항남부소방서,효자119안전센터,경상북도 포항시 남구 지곡로212번길 45,"포항시 효자동, 포항시 지곡동, 포항시 대잠동, 포항시 이동"
경북소방본부,포항북부소방서,119구조대,경상북도 포항시 북구 중앙로 332,
경북소방본부,포항북부소방서,기계119안전센터,경상북도 포항시 북구 기계면 기계로 371,"포항시 기계면, 포항시 기북면, 포항시 죽장면"
경북소방본부,포항북부소방서,덕산119안전센터,경상북도 포항시 북구 중앙로 332,"포항시 대흥동, 포항시 신흥동, 포항시 남빈동, 포항시 상원동, 포항시 여천동, 포항시 중앙동, 포항시 덕산동, 포항시 덕수동, 포항시 동빈1가, 포항시 동빈2가, 포항시 득량동, 포항시 학잠동, 포항시 죽도동, 포항시 용흥동"
경북소방본부,포항북부소방서,두호119안전센터,경상북도 포항시 북구 삼호로 305,"포항시 두호동, 포항시 대신동, 포항시 학산동, 포항시 항구동, 포항시 우현동, 포항시 창포동"
경북소방본부,포항북부소방서,장량119안전센터,경상북도 포항시 북구 법원로 158,"포항시 장성동, 포항시 양덕동, 포항시 환호동, 포항시 여남동"
경북소방본부,포항북부소방서,청하119안전센터,경상북도 포항시 북구 청하면 덕천리141,"포항시 청하면, 포항시 신광면, 포항시 송라면"
경북소방본부,포항북부소방서,흥해119안전센터,경상북도 포항시 북구 흥해읍 중성로 67,포항시 흥해읍
